"Kod";"Nazwa";"ogółem;ogółem;2019;[osoba]";
0607083;"Urzędów (3)";8582;
0607084;"Urzędów - miasto (4)";1694;
0607085;"Urzędów - obszar wiejski (5)";6888;
0607092;"Wilkołaz (2)";5527;
0607102;"Zakrzówek (2)";6443;
0608000;"Powiat lubartowski";88352;
0608011;"Lubartów (1)";21828;
0608022;"Abramów (2)";4039;
0608032;"Firlej (2)";5885;
0608042;"Jeziorzany (2)";2773;
0608052;"Kamionka (2)";6485;
0608063;"Kock (3)";6349;
0608064;"Kock - miasto (4)";3273;
0608065;"Kock - obszar wiejski (5)";3076;
0608072;"Lubartów (2)";11812;
0608082;"Michów (2)";5849;
0608092;"Niedźwiada (2)";6183;
0608103;"Ostrów Lubelski (3)";5244;
0608104;"Ostrów Lubelski - miasto (4)";2110;
0608105;"Ostrów Lubelski - obszar wiejski (5)";3134;
0608112;"Ostrówek (2)";3829;
0608122;"Serniki (2)";4914;
0608132;"Uścimów (2)";3162;
0609000;"Powiat lubelski";155566;
0609013;"Bełżyce (3)";13256;
0609014;"Bełżyce - miasto (4)";6477;
0609015;"Bełżyce - obszar wiejski (5)";6779;
0609022;"Borzechów (2)";3760;
0609033;"Bychawa (3)";11595;
0609034;"Bychawa - miasto (4)";4855;
0609035;"Bychawa - obszar wiejski (5)";6740;
0609042;"Garbów (2)";9064;
0609052;"Głusk (2)";11557;
0609062;"Jabłonna (2)";8054;
0609072;"Jastków (2)";14185;
0609082;"Konopnica (2)";14083;
0609092;"Krzczonów (2)";4369;
0609102;"Niedrzwica Duża (2)";11917;
0609112;"Niemce (2)";19814;
0609122;"Strzyżewice (2)";8110;
0609132;"Wojciechów (2)";5974;
0609142;"Wólka (2)";12547;
0609152;"Wysokie (2)";4392;
0609162;"Zakrzew (2)";2889;
0610000;"Powiat łęczyński";57331;
0610012;"Cyców (2)";7912;
0610022;"Ludwin (2)";5641;
0610033;"Łęczna (3)";23244;
0610034;"Łęczna - miasto (4)";18820;
0610035;"Łęczna - obszar wiejski (5)";4424;
0610042;"Milejów (2)";9085;
0610052;"Puchaczów (2)";5693;
0610062;"Spiczyn (2)";5756;
0611000;"Powiat łukowski";106816;
0611011;"Łuków (1)";29728;
0611021;"Stoczek Łukowski (1)";2500;
0611032;"Adamów (2)";5594;
0611042;"Krzywda (2)";10451;
0611052;"Łuków (2)";18230;
0611062;"Serokomla (2)";3940;
0611072;"Stanin (2)";9729;
0611082;"Stoczek Łukowski (2)";7793;
0611092;"Trzebieszów (2)";7352;
0611102;"Wojcieszków (2)";6850;
0611112;"Wola Mysłowska (2)";4649;
0612000;"Powiat opolski";59208;
0612012;"Chodel (2)";6565;
0612023;"Józefów nad Wisłą (3)";6515;
0612024;"Józefów nad Wisłą - miasto (4)";920;
0612025;"Józefów nad Wisłą - obszar wiejski (5)";5595;
0612032;"Karczmiska (2)";5570;
0612042;"Łaziska (2)";4896;
0612053;"Opole Lubelskie (3)";17108;
0612054;"Opole Lubelskie - miasto (4)";8388;
0612055;"Opole Lubelskie - obszar wiejski (5)";8720;
0612063;"Poniatowa (3)";14149;
0612064;"Poniatowa - miasto (4)";9083;
0612065;"Poniatowa - obszar wiejski (5)";5066;
0612072;"Wilków (2)";4405;
0613000;"Powiat parczewski";34711;
0613012;"Dębowa Kłoda (2)";3920;
0613022;"Jabłoń (2)";3874;
0613032;"Milanów (2)";3762;
0613043;"Parczew (3)";14445;
0613044;"Parczew - miasto (4)";10648;
0613045;"Parczew - obszar wiejski (5)";3797;
0613052;"Podedwórze (2)";1615;
0613062;"Siemień (2)";4516;
0613072;"Sosnowica (2)";2579;
0614000;"Powiat puławski";113173;
0614011;"Puławy (1)";47417;
0614022;"Baranów (2)";3886;
0614032;"Janowiec (2)";3668;
0614043;"Kazimierz Dolny (3)";6639;
0614044;"Kazimierz Dolny - miasto (4)";2530;
0614045;"Kazimierz Dolny - obszar wiejski (5)";4109;
0614052;"Końskowola (2)";8813;
0614062;"Kurów (2)";7649;
0614072;"Markuszów (2)";2965;
0614083;"Nałęczów (3)";8962;
0614084;"Nałęczów - miasto (4)";3753;
0614085;"Nałęczów - obszar wiejski (5)";5209;
0614092;"Puławy (2)";12126;
0614102;"Wąwolnica (2)";4621;
0614112;"Żyrzyn (2)";6427;
0615000;"Powiat radzyński";58858;
0615011;"Radzyń Podlaski (1)";15656;
0615022;"Borki (2)";6003;
0615032;"Czemierniki (2)";4310;
0615042;"Kąkolewnica (2)";8024;
0615052;"Komarówka Podlaska (2)";4185;
0615062;"Radzyń Podlaski (2)";8072;
0615072;"Ulan-Majorat (2)";6000;
0615082;"Wohyń (2)";6608;
0616000;"Powiat rycki";55988;
0616011;"Dęblin (1)";16058;
0616022;"Kłoczew (2)";7142;
0616032;"Nowodwór (2)";4072;
0616043;"Ryki (3)";20386;
0616044;"Ryki - miasto (4)";9634;
0616045;"Ryki - obszar wiejski (5)";10752;
0616052;"Stężyca (2)";5140;
0616062;"Ułęż (2)";3190;
0617000;"Powiat świdnicki";71840;
0617011;"Świdnik (1)";39136;
0617022;"Mełgiew (2)";9928;
0617033;"Piaski (3)";10530;
0617034;"Piaski - miasto (4)";2573;
0617035;"Piaski - obszar wiejski (5)";7957;
0617042;"Rybczewice (2)";3362;
0617052;"Trawniki (2)";8884;
0618000;"Powiat tomaszowski";82762;
0618011;"Tomaszów Lubelski (1)";19035;
0618022;"Bełżec (2)";3315;
0618032;"Jarczów (2)";3371;
0618042;"Krynice (2)";3217;
0618053;"Lubycza Królewska (3)";6169;
0618054;"Lubycza Królewska - miasto (4)";2440;
0618055;"Lubycza Królewska - obszar wiejski (5)";3729;
0618063;"Łaszczów (3)";5973;
0618064;"Łaszczów - miasto (4)";2128;
0618065;"Łaszczów - obszar wiejski (5)";3845;
0618072;"Rachanie (2)";5068;
0618082;"Susiec (2)";7432;
0618092;"Tarnawatka (2)";3894;
0618102;"Telatyn (2)";3901;
0618112;"Tomaszów Lubelski (2)";11358;
0618123;"Tyszowce (3)";5509;
0618124;"Tyszowce - miasto (4)";2091;
0618125;"Tyszowce - obszar wiejski (5)";3418;
0618132;"Ulhówek (2)";4520;
0619000;"Powiat włodawski";38353;
0619011;"Włodawa (1)";13066;
0619022;"Hanna (2)";2844;
0619032;"Hańsk (2)";3697;
0619042;"Stary Brus (2)";2097;
0619052;"Urszulin (2)";4146;
0619062;"Włodawa (2)";6089;
0619072;"Wola Uhruska (2)";3848;
0619082;"Wyryki (2)";2566;
0620000;"Powiat zamojski";106122;
0620012;"Adamów (2)";4646;
0620022;"Grabowiec (2)";3949;
0620032;"Komarów-Osada (2)";4939;
0620043;"Krasnobród (3)";7097;
0620044;"Krasnobród - miasto (4)";3101;
0620045;"Krasnobród - obszar wiejski (5)";3996;
0620052;"Łabunie (2)";6235;
0620062;"Miączyn (2)";5726;
0620072;"Nielisz (2)";5427;
0620082;"Radecznica (2)";5644;
0620092;"Sitno (2)";6708;
0620102;"Skierbieszów (2)";5121;
0620112;"Stary Zamość (2)";5163;
0620122;"Sułów (2)";4479;
0620133;"Szczebrzeszyn (3)";11139;
0620134;"Szczebrzeszyn - miasto (4)";4964;
0620135;"Szczebrzeszyn - obszar wiejski (5)";6175;
0620142;"Zamość (2)";23155;
0620153;"Zwierzyniec (3)";6694;
0620154;"Zwierzyniec - miasto (4)";3165;
0620155;"Zwierzyniec - obszar wiejski (5)";3529;
0661000;"Powiat m.Biała Podlaska";57170;
0661011;"Biała Podlaska (1)";57170;
0662000;"Powiat m.Chełm";61932;
0662011;"Chełm (1)";61932;
0663000;"Powiat m.Lublin";339784;
0663011;"Lublin (1)";339784;
0664000;"Powiat m.Zamość";63437;
0664011;"Zamość (1)";63437;
0800000;"LUBUSKIE";1011592;
0801000;"Powiat gorzowski";71836;
0801011;"Kostrzyn nad Odrą (1)";17730;
0801022;"Bogdaniec (2)";7104;
0801032;"Deszczno (2)";9942;
0801042;"Kłodawa (2)";8677;
0801052;"Lubiszyn (2)";6878;
0801062;"Santok (2)";8636;
0801073;"Witnica (3)";12869;
0801074;"Witnica - miasto (4)";6731;
0801075;"Witnica - obszar wiejski (5)";6138;
0802000;"Powiat krośnieński";54829;
0802011;"Gubin (1)";16614;
0802022;"Bobrowice (2)";3178;
0802032;"Bytnica (2)";2507;
0802042;"Dąbie (2)";4923;
0802052;"Gubin (2)";7138;
0802063;"Krosno Odrzańskie (3)";17670;
0802064;"Krosno Odrzańskie - miasto (4)";11238;
0802065;"Krosno Odrzańskie - obszar wiejski (5)";6432;
0802072;"Maszewo (2)";2799;
0803000;"Powiat międzyrzecki";57565;
0803012;"Bledzew (2)";4344;
0803023;"Międzyrzecz (3)";24815;
0803024;"Międzyrzecz - miasto (4)";17839;
0803025;"Międzyrzecz - obszar wiejski (5)";6976;
0803032;"Przytoczna (2)";5627;
0803042;"Pszczew (2)";4269;
0803053;"Skwierzyna (3)";12103;
0803054;"Skwierzyna - miasto (4)";9593;
0803055;"Skwierzyna - obszar wiejski (5)";2510;
0803063;"Trzciel (3)";6407;
0803064;"Trzciel - miasto (4)";2358;
0803065;"Trzciel - obszar wiejski (5)";4049;
0804000;"Powiat nowosolski";86156;
0804011;"Nowa Sól (1)";38645;
0804023;"Bytom Odrzański (3)";5426;
0804024;"Bytom Odrzański - miasto (4)";4308;
0804025;"Bytom Odrzański - obszar wiejski (5)";1118;
0804032;"Kolsko (2)";3311;
0804043;"Kożuchów (3)";15881;
0804044;"Kożuchów - miasto (4)";9356;
0804045;"Kożuchów - obszar wiejski (5)";6525;
0804052;"Nowa Sól (2)";6943;
0804063;"Nowe Miasteczko (3)";5358;
0804064;"Nowe Miasteczko - miasto (4)";2757;
0804065;"Nowe Miasteczko - obszar wiejski (5)";2601;
0804073;"Otyń (3)";7012;
0804074;"Otyń - miasto (4)";1637;
0804075;"Otyń - obszar wiejski (5)";5375;
0804082;"Siedlisko (2)";3580;
0805000;"Powiat słubicki";46929;
0805013;"Cybinka (3)";6469;
0805014;"Cybinka - miasto (4)";2751;
0805015;"Cybinka - obszar wiejski (5)";3718;
0805022;"Górzyca (2)";4299;
0805033;"Ośno Lubuskie (3)";6376;
0805034;"Ośno Lubuskie - miasto (4)";3915;
0805035;"Ośno Lubuskie - obszar wiejski (5)";2461;
0805043;"Rzepin (3)";9714;
0805044;"Rzepin - miasto (4)";6505;
0805045;"Rzepin - obszar wiejski (5)";3209;
0805053;"Słubice (3)";20071;
0805054;"Słubice - miasto (4)";16644;
0805055;"Słubice - obszar wiejski (5)";3427;
0806000;"Powiat strzelecko-drezdenecki";49009;
0806013;"Dobiegniew (3)";6536;
0806014;"Dobiegniew - miasto (4)";3071;
0806015;"Dobiegniew - obszar wiejski (5)";3465;
0806023;"Drezdenko (3)";17100;
0806024;"Drezdenko - miasto (4)";10074;
0806025;"Drezdenko - obszar wiejski (5)";7026;
0806032;"Stare Kurowo (2)";4062;
0806043;"Strzelce Krajeńskie (3)";16993;
0806044;"Strzelce Krajeńskie - miasto (4)";9916;
0806045;"Strzelce Krajeńskie - obszar wiejski (5)";7077;
0806052;"Zwierzyn (2)";4318;
0807000;"Powiat sulęciński";35193;
0807012;"Krzeszyce (2)";4729;
0807023;"Lubniewice (3)";3158;
0807024;"Lubniewice - miasto (4)";2082;
0807025;"Lubniewice - obszar wiejski (5)";1076;
0807032;"Słońsk (2)";4733;
0807043;"Sulęcin (3)";15745;
0807044;"Sulęcin - miasto (4)";10096;
0807045;"Sulęcin - obszar wiejski (5)";5649;
0807053;"Torzym (3)";6828;
0807054;"Torzym - miasto (4)";2541;
0807055;"Torzym - obszar wiejski (5)";4287;
0808000;"Powiat świebodziński";55790;
0808012;"Lubrza (2)";3567;
0808022;"Łagów (2)";4947;
0808032;"Skąpe (2)";5103;
0808042;"Szczaniec (2)";3836;
0808053;"Świebodzin (3)";29984;
0808054;"Świebodzin - miasto (4)";21685;
0808055;"Świebodzin - obszar wiejski (5)";8299;
0808063;"Zbąszynek (3)";8353;
0808064;"Zbąszynek - miasto (4)";5032;
0808065;"Zbąszynek - obszar wiejski (5)";3321;
0809000;"Powiat zielonogórski";75559;
0809013;"Babimost (3)";6226;
0809014;"Babimost - miasto (4)";3923;
0809015;"Babimost - obszar wiejski (5)";2303;
0809022;"Bojadła (2)";3277;
0809033;"Czerwieńsk (3)";9979;
0809034;"Czerwieńsk - miasto (4)";3988;
0809035;"Czerwieńsk - obszar wiejski (5)";5991;
0809043;"Kargowa (3)";5821;
0809044;"Kargowa - miasto (4)";3768;
0809045;"Kargowa - obszar wiejski (5)";2053;
0809053;"Nowogród Bobrzański (3)";9441;
0809054;"Nowogród Bobrzański - miasto (4)";5134;
0809055;"Nowogród Bobrzański - obszar wiejski (5)";4307;
0809063;"Sulechów (3)";26521;
0809064;"Sulechów - miasto (4)";16750;
0809065;"Sulechów - obszar wiejski (5)";9771;
0809072;"Świdnica (2)";6602;
0809082;"Trzebiechów (2)";3371;
0809092;"Zabór (2)";4321;
0810000;"Powiat żagański";78953;
0810011;"Gozdnica (1)";3000;
0810021;"Żagań (1)";25668;
0810032;"Brzeźnica (2)";3733;
0810043;"Iłowa (3)";6842;
0810044;"Iłowa - miasto (4)";3874;
0810045;"Iłowa - obszar wiejski (5)";2968;
0810053;"Małomice (3)";5174;
0810054;"Małomice - miasto (4)";3458;
0810055;"Małomice - obszar wiejski (5)";1716;
0810062;"Niegosławice (2)";4357;
0810073;"Szprotawa (3)";20610;
0810074;"Szprotawa - miasto (4)";11711;
0810075;"Szprotawa - obszar wiejski (5)";8899;
0810082;"Wymiarki (2)";2263;
0810092;"Żagań (2)";7306;
0811000;"Powiat żarski";96111;
0811011;"Łęknica (1)";2459;
0811021;"Żary (1)";37304;
0811032;"Brody (2)";3404;
0811043;"Jasień (3)";6991;
0811044;"Jasień - miasto (4)";4262;
0811045;"Jasień - obszar wiejski (5)";2729;
0811052;"Lipinki Łużyckie (2)";3375;
0811063;"Lubsko (3)";18404;
0811064;"Lubsko - miasto (4)";13876;
0811065;"Lubsko - obszar wiejski (5)";4528;
0811072;"Przewóz (2)";3132;
0811082;"Trzebiel (2)";5668;
0811092;"Tuplice (2)";3042;
0811102;"Żary (2)";12332;
0812000;"Powiat wschowski";38831;
0812013;"Sława (3)";12682;
0812014;"Sława - miasto (4)";4290;
0812015;"Sława - obszar wiejski (5)";8392;
0812023;"Szlichtyngowa (3)";5015;
0812024;"Szlichtyngowa - miasto (4)";1274;
0812025;"Szlichtyngowa - obszar wiejski (5)";3741;
0812033;"Wschowa (3)";21134;
0812034;"Wschowa - miasto (4)";13851;
0812035;"Wschowa - obszar wiejski (5)";7283;
0861000;"Powiat m.Gorzów Wielkopolski";123609;
0861011;"Gorzów Wielkopolski (1)";123609;
0862000;"Powiat m.Zielona Góra";141222;
0862011;"Zielona Góra (1)";141222;
1000000;"ŁÓDZKIE";2454779;
1001000;"Powiat bełchatowski";112779;
1001011;"Bełchatów (1)";56973;
1001022;"Bełchatów (2)";11572;
1001032;"Drużbice (2)";5237;
1001042;"Kleszczów (2)";6335;
1001052;"Kluki (2)";4372;
1001062;"Rusiec (2)";5080;
1001072;"Szczerców (2)";8255;
1001083;"Zelów (3)";14955;
1001084;"Zelów - miasto (4)";7541;
1001085;"Zelów - obszar wiejski (5)";7414;
1002000;"Powiat kutnowski";96569;
1002011;"Kutno (1)";43911;
1002022;"Bedlno (2)";5349;
1002032;"Dąbrowice (2)";1902;
1002043;"Krośniewice (3)";8343;
1002044;"Krośniewice - miasto (4)";4322;
1002045;"Krośniewice - obszar wiejski (5)";4021;
1002052;"Krzyżanów (2)";4231;
1002062;"Kutno (2)";8716;
1002072;"Łanięta (2)";2430;
1002082;"Nowe Ostrowy (2)";3443;
1002092;"Oporów (2)";2495;
1002102;"Strzelce (2)";3913;
1002113;"Żychlin (3)";11836;
1002114;"Żychlin - miasto (4)";8109;
1002115;"Żychlin - obszar wiejski (5)";3727;
1003000;"Powiat łaski";49918;
1003012;"Buczek (2)";5093;
1003023;"Łask (3)";27654;
1003024;"Łask - miasto (4)";17143;
1003025;"Łask - obszar wiejski (5)";10511;
1003032;"Sędziejowice (2)";6370;
1003042;"Widawa (2)";7315;
1003052;"Wodzierady (2)";3486;
1004000;"Powiat łęczycki";49747;
1004011;"Łęczyca (1)";13971;
1004022;"Daszyna (2)";3878;
1004032;"Góra Świętej Małgorzaty (2)";4345;
1004042;"Grabów (2)";5892;
1004052;"Łęczyca (2)";8554;
1004062;"Piątek (2)";5982;
1004072;"Świnice Warckie (2)";3888;
1004082;"Witonia (2)";3237;
1005000;"Powiat łowicki";78099;
1005011;"Łowicz (1)";28224;
1005022;"Bielawy (2)";5325;
1005032;"Chąśno (2)";2907;
1005042;"Domaniewice (2)";4650;
1005052;"Kiernozia (2)";3366;
1005062;"Kocierzew Południowy (2)";4204;
1005072;"Łowicz (2)";7710;
1005082;"Łyszkowice (2)";6693;
1005092;"Nieborów (2)";9321;
1005102;"Zduny (2)";5699;
1006000;"Powiat łódzki wschodni";72179;
1006022;"Andrespol (2)";14205;
1006032;"Brójce (2)";6672;
1006073;"Koluszki (3)";23368;
1006074;"Koluszki - miasto (4)";12928;
1006075;"Koluszki - obszar wiejski (5)";10440;
1006082;"Nowosolna (2)";5084;
1006103;"Rzgów (3)";10459;
1006104;"Rzgów - miasto (4)";3371;
1006105;"Rzgów - obszar wiejski (5)";7088;
1006113;"Tuszyn (3)";12391;
1006114;"Tuszyn - miasto (4)";7255;
1006115;"Tuszyn - obszar wiejski (5)";5136;
1007000;"Powiat opoczyński";76106;
1007012;"Białaczów (2)";5767;
1007023;"Drzewica (3)";10424;
1007024;"Drzewica - miasto (4)";3826;
1007025;"Drzewica - obszar wiejski (5)";6598;
1007032;"Mniszków (2)";4770;
1007043;"Opoczno (3)";34108;
1007044;"Opoczno - miasto (4)";21060;
1007045;"Opoczno - obszar wiejski (5)";13048;
1007052;"Paradyż (2)";4354;
1007062;"Poświętne (2)";3148;
1007072;"Sławno (2)";7627;
1007082;"Żarnów (2)";5908;
1008000;"Powiat pabianicki";119291;
1008011;"Konstantynów Łódzki (1)";18206;
1008021;"Pabianice (1)";64757;
1008032;"Dłutów (2)";4657;
1008042;"Dobroń (2)";7728;
1008052;"Ksawerów (2)";7668;
1008062;"Lutomiersk (2)";8639;
1008072;"Pabianice (2)";7636;
1009000;"Powiat pajęczański";51220;
1009013;"Działoszyn (3)";12444;
1009014;"Działoszyn - miasto (4)";5810;
1009015;"Działoszyn - obszar wiejski (5)";6634;
1009022;"Kiełczygłów (2)";3981;
1009032;"Nowa Brzeźnica (2)";4558;
1009043;"Pajęczno (3)";11510;
1009044;"Pajęczno - miasto (4)";6662;
1009045;"Pajęczno - obszar wiejski (5)";4848;
1009052;"Rząśnia (2)";4939;
1009062;"Siemkowice (2)";4773;
1009072;"Strzelce Wielkie (2)";4571;
1009082;"Sulmierzyce (2)";4444;
1010000;"Powiat piotrkowski";91353;
1010012;"Aleksandrów (2)";4326;
1010022;"Czarnocin (2)";4131;
1010032;"Gorzkowice (2)";8506;
1010042;"Grabica (2)";6053;
1010052;"Łęki Szlacheckie (2)";3452;
1010062;"Moszczenica (2)";12930;
1010072;"Ręczno (2)";3523;
1010082;"Rozprza (2)";12297;
1010093;"Sulejów (3)";16329;
1010094;"Sulejów - miasto (4)";6177;
1010095;"Sulejów - obszar wiejski (5)";10152;
1010102;"Wola Krzysztoporska (2)";11965;
1010113;"Wolbórz (3)";7841;
1010114;"Wolbórz - miasto (4)";2328;
1010115;"Wolbórz - obszar wiejski (5)";5513;
1011000;"Powiat poddębicki";41108;
1011012;"Dalików (2)";3920;
1011022;"Pęczniew (2)";3478;
1011033;"Poddębice (3)";15505;
1011034;"Poddębice - miasto (4)";7374;
1011035;"Poddębice - obszar wiejski (5)";8131;
1011043;"Uniejów (3)";7010;
1011044;"Uniejów - miasto (4)";3000;
1011045;"Uniejów - obszar wiejski (5)";4010;
1011052;"Wartkowice (2)";6228;
1011062;"Zadzim (2)";4967;
1012000;"Powiat radomszczański";112644;
1012011;"Radomsko (1)";45843;
1012022;"Dobryszyce (2)";4502;
1012032;"Gidle (2)";6062;
1012042;"Gomunice (2)";5860;
1012053;"Kamieńsk (3)";5877;
1012054;"Kamieńsk - miasto (4)";2753;
1012055;"Kamieńsk - obszar wiejski (5)";3124;
1012062;"Kobiele Wielkie (2)";4444;
1012072;"Kodrąb (2)";4514;
1012082;"Lgota Wielka (2)";4278;
1012092;"Ładzice (2)";4757;
1012102;"Masłowice (2)";4161;
1012113;"Przedbórz (3)";7122;
1012114;"Przedbórz - miasto (4)";3513;
1012115;"Przedbórz - obszar wiejski (5)";3609;
1012122;"Radomsko (2)";5582;
1012132;"Wielgomłyny (2)";4546;
1012142;"Żytno (2)";5096;
1013000;"Powiat rawski";48592;
1013011;"Rawa Mazowiecka (1)";17324;
1013023;"Biała Rawska (3)";11285;
1013024;"Biała Rawska - miasto (4)";3151;
1013025;"Biała Rawska - obszar wiejski (5)";8134;
1013032;"Cielądz (2)";3965;
1013042;"Rawa Mazowiecka (2)";8788;
1013052;"Regnów (2)";1818;
1013062;"Sadkowice (2)";5412;
1014000;"Powiat sieradzki";117674;
1014011;"Sieradz (1)";41953;
1014023;"Błaszki (3)";14458;
1014024;"Błaszki - miasto (4)";2085;
1014025;"Błaszki - obszar wiejski (5)";12373;
1014032;"Brąszewice (2)";4471;
1014042;"Brzeźnio (2)";6384;
1014052;"Burzenin (2)";5512;
1014062;"Goszczanów (2)";5466;
1014072;"Klonowa (2)";2870;
1014082;"Sieradz (2)";10706;
1014093;"Warta (3)";12636;
1014094;"Warta - miasto (4)";3242;
1014095;"Warta - obszar wiejski (5)";9394;
1014102;"Wróblew (2)";6054;
1014113;"Złoczew (3)";7164;
1014114;"Złoczew - miasto (4)";3363;
1014115;"Złoczew - obszar wiejski (5)";3801;
1015000;"Powiat skierniewicki";38174;
1015012;"Bolimów (2)";4021;
1015022;"Głuchów (2)";5724;
1015032;"Godzianów (2)";2644;
1015042;"Kowiesy (2)";2909;
1015052;"Lipce Reymontowskie (2)";3301;
1015062;"Maków (2)";5983;
1015072;"Nowy Kawęczyn (2)";3370;
1015082;"Skierniewice (2)";7609;
1015092;"Słupia (2)";2613;
1016000;"Powiat tomaszowski";116519;
1016011;"Tomaszów Mazowiecki (1)";61960;
1016022;"Będków (2)";3274;
1016032;"Budziszewice (2)";2149;
1016042;"Czerniewice (2)";5048;
1016052;"Inowłódz (2)";3825;
1016062;"Lubochnia (2)";7197;
1016072;"Rokiciny (2)";6160;
1016082;"Rzeczyca (2)";4643;
1016092;"Tomaszów Mazowiecki (2)";11224;
1016102;"Ujazd (2)";7723;
1016112;"Żelechlinek (2)";3316;
1017000;"Powiat wieluński";76256;
1017012;"Biała (2)";5440;
1017022;"Czarnożyły (2)";4523;
1017032;"Konopnica (2)";3772;
1017042;"Mokrsko (2)";5401;
1017052;"Osjaków (2)";4738;
1017062;"Ostrówek (2)";4481;
1017072;"Pątnów (2)";6504;
1017082;"Skomlin (2)";3319;
1017093;"Wieluń (3)";31456;
1017094;"Wieluń - miasto (4)";22269;
1017095;"Wieluń - obszar wiejski (5)";9187;
1017102;"Wierzchlas (2)";6622;
1018000;"Powiat wieruszowski";42105;
1018012;"Bolesławiec (2)";4080;
1018022;"Czastary (2)";3975;
1018032;"Galewice (2)";6115;
1018042;"Lututów (2)";4596;
1018052;"Łubnice (2)";4029;
1018062;"Sokolniki (2)";5035;
1018073;"Wieruszów (3)";14275;
1018074;"Wieruszów - miasto (4)";8517;
1018075;"Wieruszów - obszar wiejski (5)";5758;
1019000;"Powiat zduńskowolski";66380;
1019011;"Zduńska Wola (1)";41686;
1019023;"Szadek (3)";7312;
1019024;"Szadek - miasto (4)";1902;
1019025;"Szadek - obszar wiejski (5)";5410;
1019032;"Zapolice (2)";5184;
1019042;"Zduńska Wola (2)";12198;
1020000;"Powiat zgierski";166113;
1020011;"Głowno (1)";14119;
1020021;"Ozorków (1)";19311;
1020031;"Zgierz (1)";56190;
1020043;"Aleksandrów Łódzki (3)";32303;
1020044;"Aleksandrów Łódzki - miasto (4)";21739;
1020045;"Aleksandrów Łódzki - obszar wiejski (5)";10564;
1020052;"Głowno (2)";4808;
1020062;"Ozorków (2)";7021;
1020072;"Parzęczew (2)";5112;
1020083;"Stryków (3)";12711;
1020084;"Stryków - miasto (4)";3478;
1020085;"Stryków - obszar wiejski (5)";9233;
1020092;"Zgierz (2)";14538;
1021000;"Powiat brzeziński";30833;
1021011;"Brzeziny (1)";12501;
1021022;"Brzeziny (2)";5783;
1021032;"Dmosin (2)";4463;
1021042;"Jeżów (2)";3375;
1021052;"Rogów (2)";4711;
1061000;"Powiat m.Łódź";679941;
1061011;"Łódź (1)";679941;
1062000;"Powiat m.Piotrków Trybunalski";73090;
1062011;"Piotrków Trybunalski (1)";73090;
1063000;"Powiat m.Skierniewice";48089;
1063011;"Skierniewice (1)";48089;
1200000;"MAŁOPOLSKIE";3410901;
1201000;"Powiat bocheński";106858;
1201011;"Bochnia (1)";29718;
1201022;"Bochnia (2)";20024;
1201032;"Drwinia (2)";6534;
1201042;"Lipnica Murowana (2)";5659;
1201052;"Łapanów (2)";8197;
1201063;"Nowy Wiśnicz (3)";14177;
1201064;"Nowy Wiśnicz - miasto (4)";2758;
1201065;"Nowy Wiśnicz - obszar wiejski (5)";11419;
1201072;"Rzezawa (2)";11348;
1201082;"Trzciana (2)";5641;
1201092;"Żegocina (2)";5560;
1202000;"Powiat brzeski";93201;
1202012;"Borzęcin (2)";8337;
1202023;"Brzesko (3)";36291;
1202024;"Brzesko - miasto (4)";16819;
1202025;"Brzesko - obszar wiejski (5)";19472;
1202033;"Czchów (3)";9828;
1202034;"Czchów - miasto (4)";2340;
1202035;"Czchów - obszar wiejski (5)";7488;
1202042;"Dębno (2)";14746;
1202052;"Gnojnik (2)";8029;
1202062;"Iwkowa (2)";6483;
1202072;"Szczurowa (2)";9487;
1203000;"Powiat chrzanowski";124536;
1203013;"Alwernia (3)";12529;
1203014;"Alwernia - miasto (4)";3344;
1203015;"Alwernia - obszar wiejski (5)";9185;
1203022;"Babice (2)";9097;
1203033;"Chrzanów (3)";46787;
1203034;"Chrzanów - miasto (4)";36575;
1203035;"Chrzanów - obszar wiejski (5)";10212;
1203043;"Libiąż (3)";22342;
1203044;"Libiąż - miasto (4)";17003;
1203045;"Libiąż - obszar wiejski (5)";5339;
1203053;"Trzebinia (3)";33781;
1203054;"Trzebinia - miasto (4)";19663;
1203055;"Trzebinia - obszar wiejski (5)";14118;
1204000;"Powiat dąbrowski";59174;
1204012;"Bolesław (2)";2607;
1204023;"Dąbrowa Tarnowska (3)";21256;
1204024;"Dąbrowa Tarnowska - miasto (4)";11864;
1204025;"Dąbrowa Tarnowska - obszar wiejski (5)";9392;
1204032;"Gręboszów (2)";3333;
1204042;"Mędrzechów (2)";3433;
1204052;"Olesno (2)";7966;
1204062;"Radgoszcz (2)";7424;
1204073;"Szczucin (3)";13155;
1204074;"Szczucin - miasto (4)";4157;
1204075;"Szczucin - obszar wiejski (5)";8998;
1205000;"Powiat gorlicki";108886;
1205011;"Gorlice (1)";27357;
1205023;"Biecz (3)";16808;
1205024;"Biecz - miasto (4)";4607;
1205025;"Biecz - obszar wiejski (5)";12201;
1205033;"Bobowa (3)";9798;
1205034;"Bobowa - miasto (4)";3144;
1205035;"Bobowa - obszar wiejski (5)";6654;
1205042;"Gorlice (2)";17278;
1205052;"Lipinki (2)";6792;
1205062;"Łużna (2)";8535;
1205072;"Moszczenica (2)";4983;
1205082;"Ropa (2)";5507;
1205092;"Sękowa (2)";4980;
1205102;"Uście Gorlickie (2)";6848;
1206000;"Powiat krakowski";279239;
1206012;"Czernichów (2)";14712;
